xauusd_time,vix_open,vix_high,vix_low,vix_close,vix_range
9/18/15 1:00,21.37,23.33,17.87,21.14,5.459999999999997
9/18/15 5:00,21.37,23.33,17.87,21.14,5.459999999999997
9/18/15 9:00,21.37,23.33,17.87,21.14,5.459999999999997
9/18/15 13:00,21.37,23.33,17.87,21.14,5.459999999999997
9/18/15 17:00,23.07,23.8,20.98,22.14,2.8200000000000003
9/20/15 21:00,22.12,23.99,21.54,22.28,2.4499999999999993
9/21/15 1:00,22.12,23.99,21.54,22.28,2.4499999999999993
9/21/15 5:00,22.12,23.99,21.54,22.28,2.4499999999999993
9/21/15 9:00,22.12,23.99,21.54,22.28,2.4499999999999993
9/21/15 13:00,22.12,23.99,21.54,22.28,2.4499999999999993
9/21/15 17:00,21.97,22.48,20.39,21.56,2.09
9/21/15 21:00,21.55,21.85,20.05,20.14,1.8000000000000007
9/22/15 1:00,21.55,21.85,20.05,20.14,1.8000000000000007
9/22/15 5:00,21.55,21.85,20.05,20.14,1.8000000000000007
9/22/15 9:00,21.55,21.85,20.05,20.14,1.8000000000000007
9/22/15 13:00,21.55,21.85,20.05,20.14,1.8000000000000007
9/22/15 17:00,22.97,23.79,22.29,23.75,1.5
9/22/15 21:00,23.74,26.29,22.25,22.44,4.039999999999999
9/23/15 1:00,23.74,26.29,22.25,22.44,4.039999999999999
9/23/15 5:00,23.74,26.29,22.25,22.44,4.039999999999999
9/23/15 9:00,23.74,26.29,22.25,22.44,4.039999999999999
9/23/15 13:00,23.74,26.29,22.25,22.44,4.039999999999999
9/23/15 17:00,22.09,22.89,21.14,22.32,1.75
9/23/15 21:00,22.31,23.2,21.43,22.13,1.7699999999999996
9/24/15 1:00,22.31,23.2,21.43,22.13,1.7699999999999996
9/24/15 5:00,22.31,23.2,21.43,22.13,1.7699999999999996
9/24/15 9:00,22.31,23.2,21.43,22.13,1.7699999999999996
9/24/15 13:00,22.31,23.2,21.43,22.13,1.7699999999999996
9/24/15 17:00,23.53,25.3,23.0,24.36,2.3000000000000007
9/24/15 21:00,24.34,24.38,21.81,23.47,2.5700000000000003
9/25/15 1:00,24.34,24.38,21.81,23.47,2.5700000000000003
9/25/15 5:00,24.34,24.38,21.81,23.47,2.5700000000000003
9/25/15 9:00,24.34,24.38,21.81,23.47,2.5700000000000003
9/25/15 13:00,24.34,24.38,21.81,23.47,2.5700000000000003
9/25/15 17:00,21.12,22.44,20.81,21.8,1.6300000000000026
9/27/15 21:00,21.79,24.29,21.68,23.62,2.6099999999999994
9/28/15 1:00,21.79,24.29,21.68,23.62,2.6099999999999994
9/28/15 5:00,21.79,24.29,21.68,23.62,2.6099999999999994
9/28/15 9:00,21.79,24.29,21.68,23.62,2.6099999999999994
9/28/15 13:00,21.79,24.29,21.68,23.62,2.6099999999999994
9/28/15 17:00,25.02,27.11,24.94,26.94,2.169999999999998
9/28/15 21:00,26.95,28.33,26.67,27.63,1.6599999999999966
9/29/15 1:00,26.95,28.33,26.67,27.63,1.6599999999999966
9/29/15 5:00,26.95,28.33,26.67,27.63,1.6599999999999966
9/29/15 9:00,26.95,28.33,26.67,27.63,1.6599999999999966
9/29/15 13:00,26.95,28.33,26.67,27.63,1.6599999999999966
9/29/15 17:00,26.57,28.12,25.76,26.83,2.3599999999999994
9/29/15 21:00,26.82,28.2,26.29,26.83,1.9100000000000001
9/30/15 1:00,26.82,28.2,26.29,26.83,1.9100000000000001
9/30/15 5:00,26.82,28.2,26.29,26.83,1.9100000000000001
9/30/15 9:00,26.82,28.2,26.29,26.83,1.9100000000000001
9/30/15 13:00,26.82,28.2,26.29,26.83,1.9100000000000001
9/30/15 17:00,24.64,25.88,24.26,25.29,1.6199999999999974
9/30/15 21:00,25.27,25.45,23.25,24.5,2.1999999999999993
10/1/15 1:00,25.27,25.45,23.25,24.5,2.1999999999999993
10/1/15 5:00,25.27,25.45,23.25,24.5,2.1999999999999993
10/1/15 9:00,25.27,25.45,23.25,24.5,2.1999999999999993
10/1/15 13:00,25.27,25.45,23.25,24.5,2.1999999999999993
10/1/15 17:00,23.14,25.23,23.09,24.24,2.1400000000000006
10/1/15 21:00,24.2,24.2,22.55,22.55,1.6499999999999986
10/2/15 1:00,24.2,24.2,22.55,22.55,1.6499999999999986
