time,usdjpy close,usejpy volume,eurusd close,eurusd volume
1/1/14 22:00,105.3055,7163,1.37633,9479
1/2/14 2:00,105.307,8105,1.37572,8451
1/2/14 6:00,105.369,14492,1.372965,23548
1/2/14 10:00,105.106,14479,1.365175,29206
1/2/14 14:00,104.844,22441,1.367445,26285
1/2/14 18:00,104.8095,10392,1.367215,8463
1/2/14 22:00,104.7775,6089,1.36549,4730
1/3/14 2:00,104.2235,16637,1.364785,7207
1/3/14 6:00,104.319,10730,1.36468,13731
1/3/14 10:00,104.457,9657,1.363745,14952
1/3/14 14:00,104.4895,13280,1.360485,20998
1/3/14 18:00,104.851,7946,1.358885,8530
1/5/14 22:00,104.261,16167,1.358275,8064
1/6/14 2:00,104.2995,10452,1.357995,4170
1/6/14 6:00,104.558,10726,1.36115,15522
1/6/14 10:00,104.6175,7821,1.359875,13108
1/6/14 14:00,104.044,23176,1.36384,22190
1/6/14 18:00,104.217,9842,1.36293,7131
1/6/14 22:00,104.327,12612,1.362495,7342
1/7/14 2:00,104.582,11716,1.36212,4179
1/7/14 6:00,104.3415,10434,1.361895,12625
1/7/14 10:00,104.4975,11299,1.36289,18160
1/7/14 14:00,104.487,14308,1.362925,20064
1/7/14 18:00,104.601,6326,1.36157,6086
1/7/14 22:00,104.804,12306,1.362795,7302
1/8/14 2:00,105.001,10279,1.362965,4461
1/8/14 6:00,104.935,11355,1.36032,11375
1/8/14 10:00,104.787,15457,1.35945,19308
1/8/14 14:00,104.934,13219,1.357045,20836
1/8/14 18:00,104.8575,12258,1.35757,14985
1/8/14 22:00,104.8965,10624,1.357855,5482
1/9/14 2:00,104.8915,8257,1.358775,4725
1/9/14 6:00,104.987,9224,1.36098,12261
1/9/14 10:00,104.8,11994,1.35673,29475
1/9/14 14:00,104.7685,14838,1.358275,25954
1/9/14 18:00,104.8125,5713,1.360815,7782
1/9/14 22:00,104.861,8423,1.360915,4189
1/10/14 2:00,104.959,7798,1.36141,3726
1/10/14 6:00,104.9635,7106,1.35982,9441
1/10/14 10:00,104.606,21088,1.363695,26554
1/10/14 14:00,104.044,29369,1.366365,30060
1/10/14 18:00,104.178,8319,1.36702,8156
1/12/14 22:00,103.554,11689,1.366465,6391
1/13/14 2:00,103.4695,11241,1.36771,5138
1/13/14 6:00,103.388,9497,1.3663,10351
1/13/14 10:00,103.1925,12001,1.36462,15612
1/13/14 14:00,103.1535,17190,1.365405,15175
1/13/14 18:00,102.9995,15316,1.367125,9240
1/13/14 22:00,103.441,13920,1.365665,5007
1/14/14 2:00,103.296,10246,1.3666,3937
1/14/14 6:00,103.6025,12008,1.367365,14994
1/14/14 10:00,103.643,9715,1.3668,14762
1/14/14 14:00,103.9665,16303,1.368315,17145
1/14/14 18:00,104.2125,8695,1.36788,6809
1/14/14 22:00,104.3305,12480,1.363855,8061
1/15/14 2:00,104.434,7593,1.36348,5466
1/15/14 6:00,104.3005,9220,1.361735,12193
1/15/14 10:00,104.462,9451,1.3599,16626
1/15/14 14:00,104.5965,14972,1.359365,19307
1/15/14 18:00,104.5565,6178,1.36053,5943
1/15/14 22:00,104.7555,10199,1.361815,7062
1/16/14 2:00,104.73,8323,1.36192,4205
1/16/14 6:00,104.723,6899,1.36229,12559
1/16/14 10:00,104.336,11715,1.36301,17005
1/16/14 14:00,104.3945,16107,1.35935,23830
1/16/14 18:00,104.3495,5710,1.36198,6624
1/16/14 22:00,104.2745,8379,1.361325,4063
1/17/14 2:00,104.3415,6352,1.361435,2572
1/17/14 6:00,104.401,6779,1.35966,11803
1/17/14 10:00,104.262,8029,1.35784,15713
1/17/14 14:00,104.31,11388,1.35318,21929
1/17/14 18:00,104.332,6098,1.354135,7969
1/19/14 22:00,103.911,11897,1.352815,9552
1/20/14 2:00,104.098,8702,1.353025,5211
1/20/14 6:00,104.223,6879,1.3555,10547
1/20/14 10:00,103.992,6497,1.3557,11345
1/20/14 14:00,104.132,5155,1.356,7383
1/20/14 18:00,104.1775,3934,1.35519,4292
1/20/14 22:00,104.5695,10732,1.35529,7112
1/21/14 2:00,104.5605,8031,1.35479,4778
1/21/14 6:00,104.6545,8630,1.353565,12826
1/21/14 10:00,104.5715,7801,1.35404,17688
1/21/14 14:00,104.18,16124,1.35504,17770
1/21/14 18:00,104.3025,6224,1.356115,5390
1/21/14 22:00,104.374,10787,1.35692,6561
1/22/14 2:00,104.4815,15714,1.355445,7084
