time,GPR
01-01-13,90.66
01-02-13,90.66
01-03-13,90.66
01-04-13,90.66
01-05-13,90.66
01-06-13,90.66
01-07-13,90.66
01-08-13,90.66
01-09-13,90.66
01-10-13,90.66
01-11-13,90.66
01-12-13,90.66
01-13-13,90.66
01-14-13,90.66
01-15-13,90.66
01-16-13,90.66
01-17-13,90.66
01-18-13,90.66
01-19-13,90.66
01-20-13,90.66
01-21-13,90.66
01-22-13,90.66
01-23-13,90.66
01-24-13,90.66
01-25-13,90.66
01-26-13,90.66
01-27-13,90.66
01-28-13,90.66
01-29-13,90.66
01-30-13,90.66
01-31-13,90.66
02-01-13,81.59
02-02-13,81.59
02-03-13,81.59
02-04-13,81.59
02-05-13,81.59
02-06-13,81.59
02-07-13,81.59
02-08-13,81.59
02-09-13,81.59
02-10-13,81.59
02-11-13,81.59
02-12-13,81.59
02-13-13,81.59
02-14-13,81.59
02-15-13,81.59
02-16-13,81.59
02-17-13,81.59
02-18-13,81.59
02-19-13,81.59
02-20-13,81.59
02-21-13,81.59
02-22-13,81.59
02-23-13,81.59
02-24-13,81.59
02-25-13,81.59
02-26-13,81.59
02-27-13,81.59
02-28-13,81.59
03-01-13,75.9
03-02-13,75.9
03-03-13,75.9
03-04-13,75.9
03-05-13,75.9
03-06-13,75.9
03-07-13,75.9
03-08-13,75.9
03-09-13,75.9
03-10-13,75.9
03-11-13,75.9
03-12-13,75.9
03-13-13,75.9
03-14-13,75.9
03-15-13,75.9
03-16-13,75.9
03-17-13,75.9
03-18-13,75.9
03-19-13,75.9
03-20-13,75.9
03-21-13,75.9
03-22-13,75.9
03-23-13,75.9
03-24-13,75.9
03-25-13,75.9
03-26-13,75.9
03-27-13,75.9
03-28-13,75.9
03-29-13,75.9
03-30-13,75.9
03-31-13,75.9
04-01-13,95.11
04-02-13,95.11
04-03-13,95.11
04-04-13,95.11
04-05-13,95.11
04-06-13,95.11
04-07-13,95.11
04-08-13,95.11
04-09-13,95.11
04-10-13,95.11
04-11-13,95.11
04-12-13,95.11
04-13-13,95.11
04-14-13,95.11
04-15-13,95.11
04-16-13,95.11
04-17-13,95.11
04-18-13,95.11
04-19-13,95.11
04-20-13,95.11
04-21-13,95.11
04-22-13,95.11
04-23-13,95.11
04-24-13,95.11
04-25-13,95.11
04-26-13,95.11
04-27-13,95.11
04-28-13,95.11
04-29-13,95.11
04-30-13,95.11
05-01-13,83.72
05-02-13,83.72
05-03-13,83.72
05-04-13,83.72
05-05-13,83.72
05-06-13,83.72
05-07-13,83.72
05-08-13,83.72
05-09-13,83.72
05-10-13,83.72
05-11-13,83.72
05-12-13,83.72
05-13-13,83.72
05-14-13,83.72
05-15-13,83.72
05-16-13,83.72
05-17-13,83.72
05-18-13,83.72
05-19-13,83.72
05-20-13,83.72
05-21-13,83.72
05-22-13,83.72
05-23-13,83.72
05-24-13,83.72
05-25-13,83.72
05-26-13,83.72
05-27-13,83.72
05-28-13,83.72
05-29-13,83.72
05-30-13,83.72
05-31-13,83.72
06-01-13,82.97
06-02-13,82.97
06-03-13,82.97
06-04-13,82.97
06-05-13,82.97
06-06-13,82.97
06-07-13,82.97
06-08-13,82.97
06-09-13,82.97
06-10-13,82.97
06-11-13,82.97
06-12-13,82.97
06-13-13,82.97
06-14-13,82.97
06-15-13,82.97
06-16-13,82.97
06-17-13,82.97
06-18-13,82.97
06-19-13,82.97
06-20-13,82.97
06-21-13,82.97
06-22-13,82.97
06-23-13,82.97
06-24-13,82.97
06-25-13,82.97
06-26-13,82.97
06-27-13,82.97
06-28-13,82.97
06-29-13,82.97
06-30-13,82.97
07-01-13,73.98
07-02-13,73.98
07-03-13,73.98
07-04-13,73.98
07-05-13,73.98
07-06-13,73.98
07-07-13,73.98
07-08-13,73.98
07-09-13,73.98
07-10-13,73.98
07-11-13,73.98
07-12-13,73.98
07-13-13,73.98
07-14-13,73.98
07-15-13,73.98
07-16-13,73.98
07-17-13,73.98
07-18-13,73.98
07-19-13,73.98
07-20-13,73.98
07-21-13,73.98
07-22-13,73.98
07-23-13,73.98
07-24-13,73.98
07-25-13,73.98
07-26-13,73.98
07-27-13,73.98
07-28-13,73.98
07-29-13,73.98
07-30-13,73.98
07-31-13,73.98
08-01-13,90.96
08-02-13,90.96
08-03-13,90.96
08-04-13,90.96
08-05-13,90.96
08-06-13,90.96
08-07-13,90.96
08-08-13,90.96
08-09-13,90.96
08-10-13,90.96
08-11-13,90.96
08-12-13,90.96
08-13-13,90.96
08-14-13,90.96
08-15-13,90.96
08-16-13,90.96
08-17-13,90.96
08-18-13,90.96
08-19-13,90.96
08-20-13,90.96
08-21-13,90.96
08-22-13,90.96
08-23-13,90.96
08-24-13,90.96
08-25-13,90.96
08-26-13,90.96
08-27-13,90.96
08-28-13,90.96
08-29-13,90.96
08-30-13,90.96
08-31-13,90.96
09-01-13,100.46
09-02-13,100.46
09-03-13,100.46
09-04-13,100.46
09-05-13,100.46
09-06-13,100.46
09-07-13,100.46
09-08-13,100.46
09-09-13,100.46
09-10-13,100.46
09-11-13,100.46
09-12-13,100.46
09-13-13,100.46
09-14-13,100.46
09-15-13,100.46
09-16-13,100.46
09-17-13,100.46
09-18-13,100.46
09-19-13,100.46
09-20-13,100.46
09-21-13,100.46
09-22-13,100.46
09-23-13,100.46
09-24-13,100.46
09-25-13,100.46
09-26-13,100.46
09-27-13,100.46
09-28-13,100.46
09-29-13,100.46
09-30-13,100.46
10-01-13,72.95
10-02-13,72.95
10-03-13,72.95
10-04-13,72.95
10-05-13,72.95
10-06-13,72.95
10-07-13,72.95
10-08-13,72.95
10-09-13,72.95
10-10-13,72.95
10-11-13,72.95
10-12-13,72.95
10-13-13,72.95
10-14-13,72.95
10-15-13,72.95
10-16-13,72.95
10-17-13,72.95
10-18-13,72.95
10-19-13,72.95
10-20-13,72.95
10-21-13,72.95
10-22-13,72.95
10-23-13,72.95
10-24-13,72.95
10-25-13,72.95
10-26-13,72.95
10-27-13,72.95
10-28-13,72.95
10-29-13,72.95
10-30-13,72.95
10-31-13,72.95
11-01-13,77.78
11-02-13,77.78
11-03-13,77.78
11-04-13,77.78
11-05-13,77.78
11-06-13,77.78
11-07-13,77.78
11-08-13,77.78
11-09-13,77.78
11-10-13,77.78
11-11-13,77.78
11-12-13,77.78
11-13-13,77.78
11-14-13,77.78
11-15-13,77.78
11-16-13,77.78
11-17-13,77.78
11-18-13,77.78
11-19-13,77.78
11-20-13,77.78
11-21-13,77.78
11-22-13,77.78
11-23-13,77.78
11-24-13,77.78
11-25-13,77.78
11-26-13,77.78
11-27-13,77.78
11-28-13,77.78
11-29-13,77.78
11-30-13,77.78
12-01-13,70.37
12-02-13,70.37
12-03-13,70.37
12-04-13,70.37
12-05-13,70.37
12-06-13,70.37
12-07-13,70.37
12-08-13,70.37
12-09-13,70.37
12-10-13,70.37
12-11-13,70.37
12-12-13,70.37
12-13-13,70.37
12-14-13,70.37
12-15-13,70.37
12-16-13,70.37
12-17-13,70.37
12-18-13,70.37
12-19-13,70.37
12-20-13,70.37
12-21-13,70.37
12-22-13,70.37
12-23-13,70.37
12-24-13,70.37
12-25-13,70.37
12-26-13,70.37
12-27-13,70.37
12-28-13,70.37
12-29-13,70.37
12-30-13,70.37
12-31-13,70.37
01-01-14,77.92
01-02-14,77.92
01-03-14,77.92
01-04-14,77.92
01-05-14,77.92
01-06-14,77.92
01-07-14,77.92
01-08-14,77.92
01-09-14,77.92
01-10-14,77.92
01-11-14,77.92
01-12-14,77.92
01-13-14,77.92
01-14-14,77.92
01-15-14,77.92
01-16-14,77.92
01-17-14,77.92
01-18-14,77.92
01-19-14,77.92
01-20-14,77.92
01-21-14,77.92
01-22-14,77.92
01-23-14,77.92
01-24-14,77.92
01-25-14,77.92
01-26-14,77.92
01-27-14,77.92
01-28-14,77.92
01-29-14,77.92
01-30-14,77.92
01-31-14,77.92
02-01-14,69
02-02-14,69
02-03-14,69
02-04-14,69
02-05-14,69
02-06-14,69
02-07-14,69
02-08-14,69
02-09-14,69
02-10-14,69
02-11-14,69
02-12-14,69
02-13-14,69
02-14-14,69
02-15-14,69
02-16-14,69
02-17-14,69
02-18-14,69
02-19-14,69
02-20-14,69
02-21-14,69
02-22-14,69
02-23-14,69
02-24-14,69
02-25-14,69
02-26-14,69
02-27-14,69
02-28-14,69
03-01-14,119.84
03-02-14,119.84
03-03-14,119.84
03-04-14,119.84
03-05-14,119.84
03-06-14,119.84
03-07-14,119.84
03-08-14,119.84
03-09-14,119.84
03-10-14,119.84
03-11-14,119.84
03-12-14,119.84
03-13-14,119.84
03-14-14,119.84
03-15-14,119.84
03-16-14,119.84
03-17-14,119.84
03-18-14,119.84
03-19-14,119.84
03-20-14,119.84
03-21-14,119.84
03-22-14,119.84
03-23-14,119.84
03-24-14,119.84
03-25-14,119.84
03-26-14,119.84
03-27-14,119.84
03-28-14,119.84
03-29-14,119.84
03-30-14,119.84
03-31-14,119.84
04-01-14,93.22
04-02-14,93.22
04-03-14,93.22
04-04-14,93.22
04-05-14,93.22
04-06-14,93.22
04-07-14,93.22
04-08-14,93.22
04-09-14,93.22
04-10-14,93.22
04-11-14,93.22
04-12-14,93.22
04-13-14,93.22
04-14-14,93.22
04-15-14,93.22
04-16-14,93.22
04-17-14,93.22
04-18-14,93.22
04-19-14,93.22
04-20-14,93.22
04-21-14,93.22
04-22-14,93.22
04-23-14,93.22
04-24-14,93.22
04-25-14,93.22
04-26-14,93.22
04-27-14,93.22
04-28-14,93.22
04-29-14,93.22
04-30-14,93.22
05-01-14,83.43
05-02-14,83.43
05-03-14,83.43
05-04-14,83.43
05-05-14,83.43
05-06-14,83.43
05-07-14,83.43
05-08-14,83.43
05-09-14,83.43
05-10-14,83.43
05-11-14,83.43
05-12-14,83.43
05-13-14,83.43
05-14-14,83.43
05-15-14,83.43
05-16-14,83.43
05-17-14,83.43
05-18-14,83.43
05-19-14,83.43
05-20-14,83.43
05-21-14,83.43
05-22-14,83.43
05-23-14,83.43
05-24-14,83.43
05-25-14,83.43
05-26-14,83.43
05-27-14,83.43
05-28-14,83.43
05-29-14,83.43
05-30-14,83.43
05-31-14,83.43
06-01-14,98.77
06-02-14,98.77
06-03-14,98.77
06-04-14,98.77
06-05-14,98.77
06-06-14,98.77
06-07-14,98.77
06-08-14,98.77
06-09-14,98.77
06-10-14,98.77
06-11-14,98.77
06-12-14,98.77
06-13-14,98.77
06-14-14,98.77
06-15-14,98.77
06-16-14,98.77
06-17-14,98.77
06-18-14,98.77
06-19-14,98.77
06-20-14,98.77
06-21-14,98.77
06-22-14,98.77
06-23-14,98.77
06-24-14,98.77
06-25-14,98.77
06-26-14,98.77
06-27-14,98.77
06-28-14,98.77
06-29-14,98.77
06-30-14,98.77
07-01-14,138.75
07-02-14,138.75
07-03-14,138.75
07-04-14,138.75
07-05-14,138.75
07-06-14,138.75
07-07-14,138.75
07-08-14,138.75
07-09-14,138.75
07-10-14,138.75
07-11-14,138.75
07-12-14,138.75
07-13-14,138.75
07-14-14,138.75
07-15-14,138.75
07-16-14,138.75
07-17-14,138.75
07-18-14,138.75
07-19-14,138.75
07-20-14,138.75
07-21-14,138.75
07-22-14,138.75
07-23-14,138.75
07-24-14,138.75
07-25-14,138.75
07-26-14,138.75
07-27-14,138.75
07-28-14,138.75
07-29-14,138.75
07-30-14,138.75
07-31-14,138.75
08-01-14,136.45
08-02-14,136.45
08-03-14,136.45
08-04-14,136.45
08-05-14,136.45
08-06-14,136.45
08-07-14,136.45
08-08-14,136.45
08-09-14,136.45
08-10-14,136.45
08-11-14,136.45
08-12-14,136.45
08-13-14,136.45
08-14-14,136.45
08-15-14,136.45
08-16-14,136.45
08-17-14,136.45
08-18-14,136.45
08-19-14,136.45
08-20-14,136.45
08-21-14,136.45
08-22-14,136.45
08-23-14,136.45
08-24-14,136.45
08-25-14,136.45
08-26-14,136.45
08-27-14,136.45
08-28-14,136.45
08-29-14,136.45
