time,PAYEMS
2013-01-01,135257
2013-01-02,135257
2013-01-03,135257
2013-01-04,135257
2013-01-05,135257
2013-01-06,135257
2013-01-07,135257
2013-01-08,135257
2013-01-09,135257
2013-01-10,135257
2013-01-11,135257
2013-01-12,135257
2013-01-13,135257
2013-01-14,135257
2013-01-15,135257
2013-01-16,135257
2013-01-17,135257
2013-01-18,135257
2013-01-19,135257
2013-01-20,135257
2013-01-21,135257
2013-01-22,135257
2013-01-23,135257
2013-01-24,135257
2013-01-25,135257
2013-01-26,135257
2013-01-27,135257
2013-01-28,135257
2013-01-29,135257
2013-01-30,135257
2013-01-31,135257
2013-02-01,135545
2013-02-02,135545
2013-02-03,135545
2013-02-04,135545
2013-02-05,135545
2013-02-06,135545
2013-02-07,135545
2013-02-08,135545
2013-02-09,135545
2013-02-10,135545
2013-02-11,135545
2013-02-12,135545
2013-02-13,135545
2013-02-14,135545
2013-02-15,135545
2013-02-16,135545
2013-02-17,135545
2013-02-18,135545
2013-02-19,135545
2013-02-20,135545
2013-02-21,135545
2013-02-22,135545
2013-02-23,135545
2013-02-24,135545
2013-02-25,135545
2013-02-26,135545
2013-02-27,135545
2013-02-28,135545
2013-03-01,135689
2013-03-02,135689
2013-03-03,135689
2013-03-04,135689
2013-03-05,135689
2013-03-06,135689
2013-03-07,135689
2013-03-08,135689
2013-03-09,135689
2013-03-10,135689
2013-03-11,135689
2013-03-12,135689
2013-03-13,135689
2013-03-14,135689
2013-03-15,135689
2013-03-16,135689
2013-03-17,135689
2013-03-18,135689
2013-03-19,135689
2013-03-20,135689
2013-03-21,135689
2013-03-22,135689
2013-03-23,135689
2013-03-24,135689
2013-03-25,135689
2013-03-26,135689
2013-03-27,135689
2013-03-28,135689
2013-03-29,135689
2013-03-30,135689
2013-03-31,135689
2013-04-01,135873
2013-04-02,135873
2013-04-03,135873
2013-04-04,135873
2013-04-05,135873
2013-04-06,135873
2013-04-07,135873
2013-04-08,135873
2013-04-09,135873
2013-04-10,135873
2013-04-11,135873
2013-04-12,135873
2013-04-13,135873
2013-04-14,135873
2013-04-15,135873
2013-04-16,135873
2013-04-17,135873
2013-04-18,135873
2013-04-19,135873
2013-04-20,135873
2013-04-21,135873
2013-04-22,135873
2013-04-23,135873
2013-04-24,135873
2013-04-25,135873
2013-04-26,135873
2013-04-27,135873
2013-04-28,135873
2013-04-29,135873
2013-04-30,135873
2013-05-01,136095
2013-05-02,136095
2013-05-03,136095
2013-05-04,136095
2013-05-05,136095
2013-05-06,136095
2013-05-07,136095
2013-05-08,136095
2013-05-09,136095
2013-05-10,136095
2013-05-11,136095
2013-05-12,136095
2013-05-13,136095
2013-05-14,136095
2013-05-15,136095
2013-05-16,136095
2013-05-17,136095
2013-05-18,136095
2013-05-19,136095
2013-05-20,136095
2013-05-21,136095
2013-05-22,136095
2013-05-23,136095
2013-05-24,136095
2013-05-25,136095
2013-05-26,136095
2013-05-27,136095
2013-05-28,136095
2013-05-29,136095
2013-05-30,136095
2013-05-31,136095
2013-06-01,136279
2013-06-02,136279
2013-06-03,136279
2013-06-04,136279
2013-06-05,136279
2013-06-06,136279
2013-06-07,136279
2013-06-08,136279
2013-06-09,136279
2013-06-10,136279
2013-06-11,136279
2013-06-12,136279
2013-06-13,136279
2013-06-14,136279
2013-06-15,136279
2013-06-16,136279
2013-06-17,136279
2013-06-18,136279
2013-06-19,136279
2013-06-20,136279
2013-06-21,136279
2013-06-22,136279
2013-06-23,136279
2013-06-24,136279
2013-06-25,136279
2013-06-26,136279
2013-06-27,136279
2013-06-28,136279
2013-06-29,136279
2013-06-30,136279
2013-07-01,136391
2013-07-02,136391
2013-07-03,136391
2013-07-04,136391
2013-07-05,136391
2013-07-06,136391
2013-07-07,136391
2013-07-08,136391
2013-07-09,136391
2013-07-10,136391
2013-07-11,136391
2013-07-12,136391
2013-07-13,136391
2013-07-14,136391
2013-07-15,136391
2013-07-16,136391
2013-07-17,136391
2013-07-18,136391
2013-07-19,136391
2013-07-20,136391
2013-07-21,136391
2013-07-22,136391
2013-07-23,136391
2013-07-24,136391
2013-07-25,136391
2013-07-26,136391
2013-07-27,136391
2013-07-28,136391
2013-07-29,136391
2013-07-30,136391
2013-07-31,136391
2013-08-01,136646
2013-08-02,136646
2013-08-03,136646
2013-08-04,136646
2013-08-05,136646
2013-08-06,136646
2013-08-07,136646
2013-08-08,136646
2013-08-09,136646
2013-08-10,136646
2013-08-11,136646
2013-08-12,136646
2013-08-13,136646
2013-08-14,136646
2013-08-15,136646
2013-08-16,136646
2013-08-17,136646
2013-08-18,136646
2013-08-19,136646
2013-08-20,136646
2013-08-21,136646
2013-08-22,136646
2013-08-23,136646
2013-08-24,136646
2013-08-25,136646
2013-08-26,136646
2013-08-27,136646
2013-08-28,136646
2013-08-29,136646
2013-08-30,136646
2013-08-31,136646
2013-09-01,136821
2013-09-02,136821
2013-09-03,136821
2013-09-04,136821
2013-09-05,136821
2013-09-06,136821
2013-09-07,136821
2013-09-08,136821
2013-09-09,136821
2013-09-10,136821
2013-09-11,136821
2013-09-12,136821
2013-09-13,136821
2013-09-14,136821
2013-09-15,136821
2013-09-16,136821
2013-09-17,136821
2013-09-18,136821
2013-09-19,136821
2013-09-20,136821
2013-09-21,136821
2013-09-22,136821
2013-09-23,136821
2013-09-24,136821
2013-09-25,136821
2013-09-26,136821
2013-09-27,136821
2013-09-28,136821
2013-09-29,136821
2013-09-30,136821
2013-10-01,137041
2013-10-02,137041
2013-10-03,137041
2013-10-04,137041
2013-10-05,137041
2013-10-06,137041
2013-10-07,137041
2013-10-08,137041
2013-10-09,137041
2013-10-10,137041
2013-10-11,137041
2013-10-12,137041
2013-10-13,137041
2013-10-14,137041
2013-10-15,137041
2013-10-16,137041
2013-10-17,137041
2013-10-18,137041
2013-10-19,137041
2013-10-20,137041
2013-10-21,137041
2013-10-22,137041
2013-10-23,137041
2013-10-24,137041
2013-10-25,137041
2013-10-26,137041
2013-10-27,137041
2013-10-28,137041
2013-10-29,137041
2013-10-30,137041
2013-10-31,137041
2013-11-01,137316
2013-11-02,137316
2013-11-03,137316
2013-11-04,137316
2013-11-05,137316
2013-11-06,137316
2013-11-07,137316
2013-11-08,137316
2013-11-09,137316
2013-11-10,137316
2013-11-11,137316
2013-11-12,137316
2013-11-13,137316
2013-11-14,137316
2013-11-15,137316
2013-11-16,137316
2013-11-17,137316
2013-11-18,137316
2013-11-19,137316
2013-11-20,137316
2013-11-21,137316
2013-11-22,137316
2013-11-23,137316
2013-11-24,137316
2013-11-25,137316
2013-11-26,137316
2013-11-27,137316
2013-11-28,137316
2013-11-29,137316
2013-11-30,137316
2013-12-01,137373
2013-12-02,137373
2013-12-03,137373
2013-12-04,137373
