time,PCEPI
2013-01-01,95.275
2013-01-02,95.275
2013-01-03,95.275
2013-01-04,95.275
2013-01-05,95.275
2013-01-06,95.275
2013-01-07,95.275
2013-01-08,95.275
2013-01-09,95.275
2013-01-10,95.275
2013-01-11,95.275
2013-01-12,95.275
2013-01-13,95.275
2013-01-14,95.275
2013-01-15,95.275
2013-01-16,95.275
2013-01-17,95.275
2013-01-18,95.275
2013-01-19,95.275
2013-01-20,95.275
2013-01-21,95.275
2013-01-22,95.275
2013-01-23,95.275
2013-01-24,95.275
2013-01-25,95.275
2013-01-26,95.275
2013-01-27,95.275
2013-01-28,95.275
2013-01-29,95.275
2013-01-30,95.275
2013-01-31,95.275
2013-02-01,95.614
2013-02-02,95.614
2013-02-03,95.614
2013-02-04,95.614
2013-02-05,95.614
2013-02-06,95.614
2013-02-07,95.614
2013-02-08,95.614
2013-02-09,95.614
2013-02-10,95.614
2013-02-11,95.614
2013-02-12,95.614
2013-02-13,95.614
2013-02-14,95.614
2013-02-15,95.614
2013-02-16,95.614
2013-02-17,95.614
2013-02-18,95.614
2013-02-19,95.614
2013-02-20,95.614
2013-02-21,95.614
2013-02-22,95.614
2013-02-23,95.614
2013-02-24,95.614
2013-02-25,95.614
2013-02-26,95.614
2013-02-27,95.614
2013-02-28,95.614
2013-03-01,95.488
2013-03-02,95.488
2013-03-03,95.488
2013-03-04,95.488
2013-03-05,95.488
2013-03-06,95.488
2013-03-07,95.488
2013-03-08,95.488
2013-03-09,95.488
2013-03-10,95.488
2013-03-11,95.488
2013-03-12,95.488
2013-03-13,95.488
2013-03-14,95.488
2013-03-15,95.488
2013-03-16,95.488
2013-03-17,95.488
2013-03-18,95.488
2013-03-19,95.488
2013-03-20,95.488
2013-03-21,95.488
2013-03-22,95.488
2013-03-23,95.488
2013-03-24,95.488
2013-03-25,95.488
2013-03-26,95.488
2013-03-27,95.488
2013-03-28,95.488
2013-03-29,95.488
2013-03-30,95.488
2013-03-31,95.488
2013-04-01,95.391
2013-04-02,95.391
2013-04-03,95.391
2013-04-04,95.391
2013-04-05,95.391
2013-04-06,95.391
2013-04-07,95.391
2013-04-08,95.391
2013-04-09,95.391
2013-04-10,95.391
2013-04-11,95.391
2013-04-12,95.391
2013-04-13,95.391
2013-04-14,95.391
2013-04-15,95.391
2013-04-16,95.391
2013-04-17,95.391
2013-04-18,95.391
2013-04-19,95.391
2013-04-20,95.391
2013-04-21,95.391
2013-04-22,95.391
2013-04-23,95.391
2013-04-24,95.391
2013-04-25,95.391
2013-04-26,95.391
2013-04-27,95.391
2013-04-28,95.391
2013-04-29,95.391
2013-04-30,95.391
2013-05-01,95.461
2013-05-02,95.461
2013-05-03,95.461
2013-05-04,95.461
2013-05-05,95.461
2013-05-06,95.461
2013-05-07,95.461
2013-05-08,95.461
2013-05-09,95.461
2013-05-10,95.461
2013-05-11,95.461
2013-05-12,95.461
2013-05-13,95.461
2013-05-14,95.461
2013-05-15,95.461
2013-05-16,95.461
2013-05-17,95.461
2013-05-18,95.461
2013-05-19,95.461
2013-05-20,95.461
2013-05-21,95.461
2013-05-22,95.461
2013-05-23,95.461
2013-05-24,95.461
2013-05-25,95.461
2013-05-26,95.461
2013-05-27,95.461
2013-05-28,95.461
2013-05-29,95.461
2013-05-30,95.461
2013-05-31,95.461
2013-06-01,95.673
2013-06-02,95.673
2013-06-03,95.673
2013-06-04,95.673
2013-06-05,95.673
2013-06-06,95.673
2013-06-07,95.673
2013-06-08,95.673
2013-06-09,95.673
2013-06-10,95.673
2013-06-11,95.673
2013-06-12,95.673
2013-06-13,95.673
2013-06-14,95.673
2013-06-15,95.673
2013-06-16,95.673
2013-06-17,95.673
2013-06-18,95.673
2013-06-19,95.673
2013-06-20,95.673
2013-06-21,95.673
2013-06-22,95.673
2013-06-23,95.673
2013-06-24,95.673
2013-06-25,95.673
2013-06-26,95.673
2013-06-27,95.673
2013-06-28,95.673
2013-06-29,95.673
2013-06-30,95.673
2013-07-01,95.792
2013-07-02,95.792
2013-07-03,95.792
2013-07-04,95.792
2013-07-05,95.792
2013-07-06,95.792
2013-07-07,95.792
2013-07-08,95.792
2013-07-09,95.792
2013-07-10,95.792
2013-07-11,95.792
2013-07-12,95.792
2013-07-13,95.792
2013-07-14,95.792
2013-07-15,95.792
2013-07-16,95.792
2013-07-17,95.792
2013-07-18,95.792
2013-07-19,95.792
2013-07-20,95.792
2013-07-21,95.792
2013-07-22,95.792
2013-07-23,95.792
2013-07-24,95.792
2013-07-25,95.792
2013-07-26,95.792
2013-07-27,95.792
2013-07-28,95.792
2013-07-29,95.792
2013-07-30,95.792
2013-07-31,95.792
2013-08-01,95.934
2013-08-02,95.934
2013-08-03,95.934
2013-08-04,95.934
2013-08-05,95.934
2013-08-06,95.934
2013-08-07,95.934
2013-08-08,95.934
2013-08-09,95.934
2013-08-10,95.934
2013-08-11,95.934
2013-08-12,95.934
2013-08-13,95.934
2013-08-14,95.934
2013-08-15,95.934
2013-08-16,95.934
2013-08-17,95.934
2013-08-18,95.934
2013-08-19,95.934
2013-08-20,95.934
2013-08-21,95.934
2013-08-22,95.934
2013-08-23,95.934
2013-08-24,95.934
2013-08-25,95.934
2013-08-26,95.934
2013-08-27,95.934
2013-08-28,95.934
