time,GPR
01-01-13,90.66
02-01-13,81.59
03-01-13,75.90
04-01-13,95.11
05-01-13,83.72
06-01-13,82.97
07-01-13,73.98
08-01-13,90.96
09-01-13,100.46
10-01-13,72.95
11-01-13,77.78
12-01-13,70.37
01-01-14,77.92
02-01-14,69.00
03-01-14,119.84
04-01-14,93.22
05-01-14,83.43
06-01-14,98.77
07-01-14,138.75
08-01-14,136.45
09-01-14,131.56
10-01-14,83.66
11-01-14,84.38
12-01-14,86.53
01-01-15,111.99
02-01-15,111.92
03-01-15,104.24
04-01-15,102.19
05-01-15,76.26
06-01-15,85.91
07-01-15,106.81
08-01-15,82.48
09-01-15,98.77
10-01-15,91.93
11-01-15,150.72
12-01-15,148.24
01-01-16,118.21
02-01-16,103.75
03-01-16,109.72
04-01-16,85.22
05-01-16,88.33
06-01-16,90.17
07-01-16,114.61
08-01-16,98.74
09-01-16,104.55
10-01-16,85.75
11-01-16,82.92
12-01-16,102.18
01-01-17,105.20
02-01-17,114.21
03-01-17,96.64
04-01-17,119.46
05-01-17,102.58
06-01-17,126.79
07-01-17,102.81
08-01-17,138.53
09-01-17,115.53
10-01-17,91.46
11-01-17,92.60
12-01-17,82.72
01-01-18,92.43
02-01-18,64.49
03-01-18,111.96
04-01-18,123.26
05-01-18,125.67
06-01-18,103.97
07-01-18,110.03
08-01-18,112.74
09-01-18,75.05
10-01-18,92.02
11-01-18,80.41
12-01-18,90.61
01-01-19,87.42
02-01-19,96.80
03-01-19,82.33
04-01-19,79.25
05-01-19,106.47
06-01-19,106.59
07-01-19,93.52
08-01-19,103.40
09-01-19,90.37
10-01-19,97.84
11-01-19,73.08
12-01-19,74.28
01-01-20,138.42
02-01-20,75.96
03-01-20,81.54
04-01-20,69.34
05-01-20,68.51
06-01-20,71.23
07-01-20,66.47
08-01-20,65.47
09-01-20,80.38
10-01-20,76.08
11-01-20,70.07
12-01-20,64.07
01-01-21,77.42
02-01-21,73.96
03-01-21,78.62
04-01-21,88.17
05-01-21,93.01
06-01-21,74.13
07-01-21,58.42
08-01-21,89.49
09-01-21,80.70
10-01-21,79.03
11-01-21,86.57
12-01-21,105.35
01-01-22,138.67
02-01-22,216.16
03-01-22,318.95
04-01-22,191.14
05-01-22,142.26
06-01-22,130.71
07-01-22,117.18
08-01-22,132.86
09-01-22,131.99
10-01-22,143.16
11-01-22,116.72
12-01-22,111.20
01-01-23,104.27
02-01-23,120.99
03-01-23,105.38
04-01-23,106.81
05-01-23,108.47
06-01-23,110.53
07-01-23,107.45
08-01-23,101.14
09-01-23,98.63
10-01-23,197.89
11-01-23,156.70
12-01-23,142.28
01-01-24,160.16
02-01-24,146.60
03-01-24,133.21
04-01-24,163.74
05-01-24,130.52
06-01-24,112.88
07-01-24,92.39
08-01-24,140.76
09-01-24,130.14
10-01-24,130.69
11-01-24,128.48
12-01-24,142.13
01-01-25,112.33
02-01-25,136.20
03-01-25,174.24
04-01-25,140.33
05-01-25,165.81
06-01-25,220.09
07-01-25,132.68
08-01-25,136.02
09-01-25,119.51
