time,PAYEMS
01-01-13,135257
02-01-13,135545
03-01-13,135689
04-01-13,135873
05-01-13,136095
06-01-13,136279
07-01-13,136391
08-01-13,136646
09-01-13,136821
10-01-13,137041
11-01-13,137316
12-01-13,137373
01-01-14,137561
02-01-14,137712
03-01-14,137985
04-01-14,138297
05-01-14,138512
06-01-14,138849
07-01-14,139073
08-01-14,139269
09-01-14,139563
10-01-14,139797
11-01-14,140090
12-01-14,140364
01-01-15,140568
02-01-15,140827
03-01-15,140923
04-01-15,141196
05-01-15,141538
06-01-15,141709
07-01-15,141991
08-01-15,142125
09-01-15,142275
10-01-15,142579
11-01-15,142808
12-01-15,143077
01-01-16,143210
02-01-16,143407
03-01-16,143662
04-01-16,143855
05-01-16,143900
06-01-16,144146
07-01-16,144520
08-01-16,144662
09-01-16,144967
10-01-16,145066
11-01-16,145183
12-01-16,145408
01-01-17,145628
02-01-17,145848
03-01-17,145969
04-01-17,146174
05-01-17,146380
06-01-17,146583
07-01-17,146772
08-01-17,146919
09-01-17,147007
10-01-17,147150
11-01-17,147373
12-01-17,147523
01-01-18,147660
02-01-18,148054
03-01-18,148280
04-01-18,148422
05-01-18,148740
06-01-18,148959
07-01-18,149020
08-01-18,149279
09-01-18,149358
10-01-18,149526
11-01-18,149617
12-01-18,149809
01-01-19,150059
02-01-19,150065
03-01-19,150295
04-01-19,150593
05-01-19,150621
06-01-19,150839
07-01-19,150936
08-01-19,151171
09-01-19,151365
10-01-19,151460
11-01-19,151668
12-01-19,151795
01-01-20,152031
02-01-20,152292
03-01-20,150895
04-01-20,130424
05-01-20,133040
06-01-20,137671
07-01-20,139255
08-01-20,140819
09-01-20,141770
10-01-20,142461
11-01-20,142731
12-01-20,142548
01-01-21,142913
02-01-21,143422
03-01-21,144246
04-01-21,144611
05-01-21,145032
06-01-21,145828
07-01-21,146759
08-01-21,147246
09-01-21,147712
10-01-21,148569
11-01-21,149206
12-01-21,149781
01-01-22,150006
02-01-22,150875
03-01-22,151346
04-01-22,151651
05-01-22,151892
06-01-22,152353
07-01-22,153049
08-01-22,153286
09-01-22,153513
10-01-22,153913
11-01-22,154210
12-01-22,154336
01-01-23,154780
02-01-23,155086
03-01-23,155171
04-01-23,155387
05-01-23,155614
06-01-23,155871
07-01-23,156019
08-01-23,156176
09-01-23,156334
10-01-23,156520
11-01-23,156661
12-01-23,156930
01-01-24,157049
02-01-24,157271
03-01-24,157517
04-01-24,157635
05-01-24,157828
06-01-24,157915
07-01-24,158003
08-01-24,158074
09-01-24,158314
10-01-24,158358
11-01-24,158619
12-01-24,158942
01-01-25,159053
02-01-25,159155
03-01-25,159275
04-01-25,159433
05-01-25,159452
06-01-25,159439
07-01-25,159518
08-01-25,159540
