time,PCEPI
01-01-13,95.275
02-01-13,95.614
03-01-13,95.488
04-01-13,95.391
05-01-13,95.461
06-01-13,95.673
07-01-13,95.792
08-01-13,95.934
09-01-13,95.976
10-01-13,96.103
11-01-13,96.246
12-01-13,96.414
01-01-14,96.614
02-01-14,96.66
03-01-14,96.815
04-01-14,96.987
05-01-14,97.147
06-01-14,97.253
07-01-14,97.391
08-01-14,97.379
09-01-14,97.413
10-01-14,97.384
11-01-14,97.291
12-01-14,97.12
01-01-15,96.654
02-01-15,96.825
03-01-15,97.008
04-01-15,97.094
05-01-15,97.327
06-01-15,97.516
07-01-15,97.605
08-01-15,97.612
09-01-15,97.477
10-01-15,97.477
11-01-15,97.538
12-01-15,97.456
01-01-16,97.496
02-01-16,97.445
03-01-16,97.673
04-01-16,97.993
05-01-16,98.153
06-01-16,98.325
07-01-16,98.342
08-01-16,98.479
09-01-16,98.666
10-01-16,98.868
11-01-16,98.901
12-01-16,99.071
01-01-17,99.451
02-01-17,99.586
03-01-17,99.535
04-01-17,99.725
05-01-17,99.682
06-01-17,99.766
07-01-17,99.803
08-01-17,100.027
09-01-17,100.4
10-01-17,100.531
11-01-17,100.675
12-01-17,100.821
01-01-18,101.199
02-01-18,101.416
03-01-18,101.524
04-01-18,101.766
05-01-18,101.941
06-01-18,102.029
07-01-18,102.137
08-01-18,102.208
09-01-18,102.418
10-01-18,102.595
11-01-18,102.63
12-01-18,102.701
01-01-19,102.648
02-01-19,102.836
03-01-19,103.069
04-01-19,103.36
05-01-19,103.435
06-01-19,103.484
07-01-19,103.622
08-01-19,103.67
09-01-19,103.733
10-01-19,103.917
11-01-19,104.024
12-01-19,104.307
01-01-20,104.49
02-01-20,104.573
03-01-20,104.271
04-01-20,103.838
05-01-20,103.942
06-01-20,104.27
07-01-20,104.578
08-01-20,104.87
09-01-20,105.057
10-01-20,105.151
11-01-20,105.258
12-01-20,105.699
01-01-21,106.147
02-01-21,106.5
03-01-21,107.054
04-01-21,107.618
05-01-21,108.175
06-01-21,108.76
07-01-21,109.256
08-01-21,109.674
09-01-21,110.034
10-01-21,110.762
11-01-21,111.5
12-01-21,112.191
01-01-22,112.805
02-01-22,113.471
03-01-22,114.469
04-01-22,114.812
05-01-22,115.525
06-01-22,116.638
07-01-22,116.631
08-01-22,116.956
09-01-22,117.371
10-01-22,117.919
11-01-22,118.224
12-01-22,118.384
01-01-23,119.018
02-01-23,119.369
03-01-23,119.538
04-01-23,119.951
05-01-23,120.15
06-01-23,120.469
07-01-23,120.607
08-01-23,120.97
09-01-23,121.419
10-01-23,121.484
11-01-23,121.493
12-01-23,121.66
01-01-24,122.23
02-01-24,122.598
03-01-24,123.038
04-01-24,123.341
05-01-24,123.348
06-01-24,123.539
07-01-24,123.736
08-01-24,123.889
09-01-24,124.164
10-01-24,124.494
11-01-24,124.637
12-01-24,124.979
01-01-25,125.417
02-01-25,125.921
03-01-25,125.941
04-01-25,126.15
05-01-25,126.38
06-01-25,126.743
07-01-25,126.949
08-01-25,127.285
