feature,importance
stoch_d,1988
stoch_k,1474
bb_percent_b,1052
cci,859
williams_r,461
price_ema20_pct,397
macd_histogram,364
rsi_14,340
std_10,239
rsi_7,234
vix-close,221
price_sma20_pct,220
dxy-close,219
momentum_10,201
bb_bandwidth,197
macd_line,190
eurusd-close,179
std_20,168
GPR,164
ema_20_50_cross,149
rsi_21,148
rsi_28,146
etfs,144
sma_20_50_cross,132
roc_20,130
atr_14,111
roc_10,106
usd-jpy close,102
sma_200,99
price_sma50_pct,94
DFII10,92
nfp,90
macd_signal,88
momentum_20,70
psar,67
ema_50,66
bb_upper,60
bb_lower,58
sma_50,56
cpi,50
DFF,49
futures-close,43
un-rate,40
pce,32
ema_20,25
sma_20,21
psar_trend,12
tema,6
